"Año","Temperatura Global Media (°C)"
"1950","13.84"
"1951","13.88"
"1952","13.91"
"1953","13.92"
"1954","13.85"
"1955","13.85"
"1956","13.80"
"1957","13.93"
"1958","13.98"
"1959","13.97"
"1960","13.97"
"1961","14.05"
"1962","14.02"
"1963","14.06"
"1964","13.84"
"1965","13.90"
"1966","13.94"
"1967","13.98"
"1968","13.92"
"1969","14.03"
"1970","14.02"
"1971","13.91"
"1972","14.01"
"1973","14.15"
"1974","13.92"
"1975","14.01"
"1976","13.91"
"1977","14.19"
"1978","14.07"
"1979","14.17"
"1980","14.28"
"1981","14.34"
"1982","14.14"
"1983","14.31"
"1984","14.15"
"1985","14.13"
"1986","14.20"
"1987","14.34"
"1988","14.40"
"1989","14.30"
"1990","14.44"
"1991","14.39"
"1992","14.25"
"1993","14.27"
"1994","14.32"
"1995","14.46"
"1996","14.34"
"1997","14.47"
"1998","14.64"
"1999","14.41"
"2000","14.41"
"2001","14.56"
"2002","14.62"
"2003","14.63"
"2004","14.55"
"2005","14.67"
"2006","14.65"
"2007","14.67"
"2008","14.55"
"2009","14.65"
"2010","14.73"
"2011","14.62"
"2012","14.64"
"2013","14.68"
"2014","14.75"
"2015","14.88"
"2016","15.00"
"2017","14.92"
"2018","14.83"
"2019","14.96"
"2020","15.02"
"2021","14.86"
"2022","14.90"
"2023","14.93"
